
エレメンタルナイト
ブラックソーサー(攻撃), 回転発射 EFFECT_B-Cut.bmp 32 Swing.wav
メタルランス, ランス
メタルパイク, パイク
スローイングピラム, 投擲武器 EFFECT_Pillum.bmp
メタルソード(準備), 振る武器 EFFECT_MetalSword.bmp 32
メタルソード(攻撃), 白兵武器 Swing.wav
メタルソード(命中), 斬撃 Saber.wav
メタルナイフ(準備), 振る武器 EFFECT_Metal-Knife.bmp 32
メタルナイフ(攻撃), 白兵武器 Swing.wav
メタルナイフ(命中), 斬撃 Saber.wav
メタルナイフＡ(準備), 振る武器 EFFECT_Metal-Knife.bmp 32
メタルナイフＡ(攻撃), 白兵武器 Swing.wav
メタルナイフＡ(命中), 斬撃 Saber.wav
メタルダガー(準備), 振る武器 EFFECT_Metal-Knife.bmp 32
メタルダガー(攻撃), 白兵武器 Swing.wav
メタルダガー(命中), 斬撃 Saber.wav
メタルブレード(準備), 振る武器 EFFECT_MetalBlade.bmp 32
メタルブレード(攻撃), 白兵武器 Swing.wav
メタルブレード(命中), 斬撃 Saber.wav
ロングソード(準備), 振る武器 EFFECT_MetalBlade.bmp 32
ロングソード(攻撃), 白兵武器 Swing.wav
ロングソード(命中), 斬撃 Saber.wav
ブロードソード(準備), 振る武器 EFFECT_MetalBlade.bmp 32
ブロードソード(攻撃), 白兵武器 Swing.wav
ブロードソード(命中), 斬撃 Saber.wav
ハイメタルソード(準備), 振る武器 EFFECT_MetalBlade.bmp 32
ハイメタルソード(攻撃), 白兵武器 Swing.wav
ハイメタルソード(命中), 斬撃 Saber.wav
メタルアックス(準備), 振る武器 EFFECT_MetalAxe.bmp 32
メタルアックス(攻撃), 白兵武器 Swing.wav
メタルアックス(命中), 斬撃 Saber.wav
ナイトソード(準備), 振る武器 EFFECT_KnightSword.bmp 32
ナイトソード(攻撃), 白兵武器 Swing.wav
ナイトソード(命中), 斬撃 Saber.wav
ハンドランチャー(準備), 射撃武器 EFFECT_H-Ran.bmp 32 Reload(4).wav
ハンドランチャー(攻撃), ビームライフル EFFECT_H-Ran.bmp 32 イエロー
ハンドランチャー(命中), ビームライフル イエロー
ハンドブラスター, 小ビーム イエロー
エーテルガン(準備), 射撃武器 EFFECT_H-Ran(NH).bmp 32 Reload(4).wav
エーテルガン(攻撃), ビームライフル EFFECT_H-Ran(NH).bmp 32 イエロー
エーテルガン(命中), ビームライフル イエロー
胸部マシンガン, 機関砲
エーテルライフル(準備), 射撃武器 EFFECT_E-Rifle.bmp 32 Reload(3).wav
エーテルライフル(攻撃), ビームライフル EFFECT_E-Rifle.bmp 32 イエロー
エーテルライフル(命中), ビームライフル イエロー
エーテルライフルＡ(準備), 射撃武器 EFFECT_E-Rifle.bmp 32 Reload(3).wav
エーテルライフルＡ(攻撃), ビームライフル EFFECT_E-Rifle.bmp 32 イエロー
エーテルライフルＡ(命中), ビームライフル イエロー
スナイパーライフル(準備), 射撃武器 EFFECT_S-Rifle.bmp 64 BreakOff.wav
スナイパーライフル(攻撃), レーザーガン EFFECT_S-Rifle.bmp 64 イエロー
スナイパーライフル(命中), レーザーガン イエロー
ロングバレルキャノン(準備), 射撃武器 EFFECT_L-B-Cannon.bmp 64 BreakOff.wav
ロングバレルキャノン(攻撃), 対戦車ライフル EFFECT_L-B-Cannon.bmp 64
ロングバレルキャノン(命中), 小爆発 Explode(Small).wav
エーテルショット, ニードルレーザー イエロー
ハイエーテルショット, ニードルレーザー連射 イエロー
メタルフィスト, 打突
ハーフムーン(準備), 振る武器 EFFECT_HalfMoon.bmp 64
ハーフムーン(攻撃), 白兵武器 Swing.wav
ハーフムーン(命中), 大斬撃 Saber.wav
破陣流月光斬(準備), 振る武器 EFFECT_HalfMoon.bmp 64
破陣流月光斬(攻撃), 円月殺法 黄;なぎ払い
破陣流月光斬(命中), クリティカル斬撃 -.wav;大斬撃 Saber.wav
サイドワインダー(準備), 射撃武器 EFFECT_SideWinder.bmp 32 Reload(5).wav
サイドワインダー(攻撃), リボルバー EFFECT_SideWinder.bmp 32 Gun.wav
サイドワインダー(命中), 銃弾 Explode(Small).wav
デモンマッシャー(準備), 振る武器 EFFECT_DemonMasher.bmp 48
デモンマッシャー(攻撃), 振り下ろし Swing.wav
デモンマッシャー(命中), ビームサーベル ホワイト
閃光呪文(準備), 魔法集中 白
閃光呪文(クリティカル), 発光 白
氷結呪文(準備), 魔法集中 青
氷結呪文(攻撃), 氷弾
氷結呪文(クリティカル), 凍結
魔弾呪文(準備), 魔法集中 黄
魔弾呪文(攻撃), 光投射 黄 BeamShot.wav
爆裂呪文(準備), 魔法集中 赤 中 Charge.wav
爆裂呪文(攻撃), 火炎弾;6;ＭＡＰ爆発
土撃呪文(準備), 魔法集中 橙
土撃呪文(命中), 石柱 Explode(Small).wav
光の矢(準備), 魔法集中 白
光の矢(攻撃), 実弾発射 Effect_LightBow.bmp 32 Beam.wav 速

魔兵
衝撃波(攻撃), 気斬 ブラック
衝撃波(命中), 飛沫 黒 BreakA@22.wav
アロー(準備), 魔法集中 黒
アロー(攻撃), 実弾発射 Effect_Arow.bmp 32 BoomA@22.wav 速
アロー(命中), 飛沫 黒 BreakA@22.wav
突撃(攻撃), スーパータックル ブラック Whiz.wav
突撃(命中), スーパータックル ブラック Crash.wav
ファイアブレッド(攻撃), 実弾発射 Effect_FB.bmp 32 AntiShipMissile.wav 速
ファイアブレッド(命中), 炎 Fire.wav
ハンドランチャー(準備), 射撃武器 EFFECT_H-Ran.bmp 32 Reload(4).wav
ハンドランチャー(攻撃), ビームライフル EFFECT_H-Ran.bmp 32 ブラック
ハンドランチャー(命中), ビームライフル ブラック
ダークライフル(準備), 射撃武器 EFFECT_E-Rifle.bmp 32 Reload(3).wav
ダークライフル(攻撃), ビームライフル EFFECT_E-Rifle.bmp 32 ブラック
ダークライフル(命中), ビームライフル ブラック
スナイパーライフル(準備), 射撃武器 EFFECT_S-Rifle.bmp 64 BreakOff.wav
スナイパーライフル(攻撃), レーザーガン EFFECT_S-Rifle.bmp 64 ブラック
スナイパーライフル(命中), レーザーガン ブラック

ソーディア
シールド防御, シールド防御 EFFECT_SmallShield.bmp 32

ライトフットソーディア
シールド防御, シールド防御 EFFECT_SmallShield.bmp 32

ソーディアアサルト
シールド防御, シールド防御 EFFECT_SmallShield.bmp 32

アーマーソーディア
シールド防御, シールド防御 EFFECT_NormalShield.bmp 32

デザートソーディア
シールド防御, シールド防御 EFFECT_SmallShield(D).bmp 32

デザートソーディアＡ
シールド防御, シールド防御 EFFECT_SmallShield(D).bmp 32

森林戦型ソーディア
シールド防御, シールド防御 EFFECT_SmallShield(G).bmp 32

ブルーソーディア
シールド防御, シールド防御 EFFECT_SmallShield(B).bmp 32

ナイト
シールド防御, シールド防御 EFFECT_KnightShield.bmp 32

ランスナイト
シールド防御, シールド防御 EFFECT_KnightShield.bmp 32

ソードナイト
シールド防御, シールド防御 EFFECT_KnightShield.bmp 32

ナイトディフェンダー
シールド防御, シールド防御 EFFECT_KnightShield.bmp 32

ガードナー
シールド防御, シールド防御 EFFECT_SmallShield.bmp 32

ハードガードナー
シールド防御, シールド防御 EFFECT_NormalShield.bmp 32

プロトソルジャー
シールド防御, シールド防御 EFFECT_SmallShield.bmp 32

コマンダー
シールド防御, シールド防御 EFFECT_NormalShield.bmp 32

フィスト
シールド防御, シールド防御 EFFECT_SmallShield.bmp 32

ノーヴィスクレリクス
シールド防御, シールド防御 EFFECT_HolyBuckler.bmp 32

クレリクス
シールド防御, シールド防御 EFFECT_HolyBuckler.bmp 32
